LastActivity,AccountOwner,AccountName,State/Province,Type,Rating,LastModifiedDate,Country,HQCountry,AccountId,Region
10/10/19,Simon Skinner,Domestic & General Acquisitions,null,Prospect,null,3/5/20,United Kingdom,null,0010z00001WiMeLAAV,EMEA
4/3/19,Pavel Hruska,European Council Belgium,null,Prospect,null,3/5/20,Belgium,null,0016000001BadjxAAB,EMEA
3/17/20,Kyle Graves,CGI Group Inc.,Quebec,Partner,C - General Interest (cont. to market),6/19/20,Canada,null,0016000000dbByNAAU,NORTHEAST
1/10/20,Joe Hliboki,PVH (Phillips-Van Heusen) Corporation,New York,Prospect,null,6/18/20,United States,null,0016000000dbLZVAA2,NORTHEAST
2/21/20,James Raspanti,IAC/InterActiveCorp,New York,Prospect,null,5/7/20,United States,null,0016000000dbLb7AAE,NORTHEAST
7/22/20,Adam Swaney,"Caesar's Entertainment, Inc.",Nevada,Prospect,null,6/22/20,United States,null,0016000000dcqNCAAY,WEST
7/14/20,Kyle Graves,"HealthNow New York, Inc.",New York,Customer,A - Active project (within 3 to 6  mths),7/20/20,United States,United States of America,0016000000dbRfeAAE,NORTHEAST
7/28/20,Mark Ronson,Dexcom,California,Prospect,null,6/24/20,United States,null,0016000001FeVDNAA3,WEST
6/11/20,Sonny Covington,"American Airlines Group, Inc.",Texas,Prospect,null,6/19/20,United States,null,0016000001FfWq0AAF,CENTRAL
10/11/11,Joe Hliboki,Buddy Media,New York,Prospect,null,6/18/20,United States,null,0016000000ddPfmAAE,NORTHEAST
6/19/19,Kyle Graves,Eaton Vance,Massachusetts,Prospect,null,6/19/20,United States,null,0010z00001WOY6TAAX,NORTHEAST
7/2/20,Joe Hliboki,Duff & Phelps,New York,Prospect,null,6/19/20,United States,null,0010z00001WOY6PAAX,NORTHEAST
5/11/15,Simon Brender,AK Mall,null,Ex-Customer,null,11/23/19,"Korea, Republic of",null,0016000000dZrJ4AAK,APAC
null,David Bain,Caltex Australia,New South Wales,Prospect,null,7/29/20,Australia,null,0010z00001YCJuAAAX,APAC
6/10/20,Simon Skinner,Tesco Bank,England,Prospect,B - Possible project (within 3-9 mths),6/19/20,United Kingdom,null,0016000000d0GQpAAM,EMEA
11/27/19,David Bain,Australian Defence Force,null,Prospect,null,7/29/20,Australia,null,0010z00001WiRa5AAF,APAC
9/27/11,Mark Ronson,Bank of America - California,California,Prospect,A - Active project (within 3 to 6  mths),6/19/20,United States,null,0016000000daw7tAAA,WEST
null,Mark Wagasky,Maples and Calder,null,Prospect,null,6/19/20,Cayman Islands,null,0016000001NJtdPAAT,NORTHEAST
11/26/19,Joe Hliboki,Sandvik Coromant - Global,New Jersey,Prospect,null,2/27/20,United States,null,0016000000Sv77hAAB,NORTHEAST
10/3/19,Tyler Bush,De Lage Landen Financial Services Inc,Pennsylvania,Prospect,null,3/13/20,United States,null,0016000000Sv6uBAAR,MIDWEST
3/7/19,Kyle Graves,Sirius XM Radio Inc.,New York,Prospect,null,6/19/20,United States,null,0016000000Sv77yAAB,NORTHEAST
3/14/16,Joe Hliboki,Sony Corporation of America,New York,Prospect,null,6/19/20,United States,null,0016000000Sv787AAB,NORTHEAST
7/10/18,Kyle Graves,iRobot Corporation,Massachusetts,Prospect,null,8/13/19,United States,null,0016000000Sv6zLAAR,NORTHEAST
7/29/20,James Raspanti,United Technologies Corporation,Connecticut,Prospect,null,6/19/20,United States,null,0016000000Sv4pfAAB,NORTHEAST
6/14/19,James Raspanti,Phoenix Life Insurance,Connecticut,Prospect,null,6/16/20,United States,null,0016000000Sv3jDAAR,NORTHEAST
